id,year,decade,rank,title,artist,title_norm,artist_norm,source,url,word_count
6577,1965,1960,44,Just Once in My Life,The Righteous Brothers,just once in my life,the righteous brothers,genius,https://genius.com/The-righteous-brothers-just-once-in-my-life-lyrics,334.0
6579,1965,1960,46,"I'm Henry the Eighth, I Am",Herman's Hermits,im henry the eighth i am,hermans hermits,genius,https://genius.com/Hermans-hermits-im-henery-the-eighth-i-am-lyrics,140.0
6581,1965,1960,48,For Your Love,The Yardbirds,for your love,the yardbirds,genius,https://genius.com/The-yardbirds-for-your-love-lyrics,165.0
6582,1965,1960,49,California Girls,The Beach Boys,california girls,the beach boys,genius,https://genius.com/The-beach-boys-california-girls-lyrics,220.0
6583,1965,1960,50,Go Now,The Moody Blues,go now,the moody blues,genius,https://genius.com/The-moody-blues-go-now-lyrics,184.0
6584,1965,1960,51,Goldfinger,Shirley Bassey,goldfinger,shirley bassey,genius,https://genius.com/Shirley-bassey-goldfinger-lyrics,145.0
6585,1965,1960,52,Down in the Boondocks,Billy Joe Royal,down in the boondocks,billy joe royal,genius,https://genius.com/Billy-joe-royal-down-in-the-boondocks-lyrics,276.0
6586,1965,1960,53,Baby the Rain Must Fall,Glenn Yarbrough,baby the rain must fall,glenn yarbrough,genius,https://genius.com/Glenn-yarbrough-baby-the-rain-must-fall-lyrics,140.0
6587,1965,1960,54,Catch Us If You Can,The Dave Clark Five,catch us if you can,the dave clark five,genius,https://genius.com/The-dave-clark-five-catch-us-if-you-can-lyrics,170.0
6588,1965,1960,55,Eight Days a Week,The Beatles,eight days a week,the beatles,azlyrics,https://www.azlyrics.com/lyrics/beatles/eightdaysaweek.html,200.0
6589,1965,1960,56,Just a Little,The Beau Brummels,just a little,the beau brummels,genius,https://genius.com/The-beau-brummels-just-a-little-lyrics,131.0
6590,1965,1960,57,You Turn Me On,Ian Whitcomb,you turn me on,ian whitcomb,genius,https://genius.com/Ian-whitcomb-and-bluesville-you-turn-me-on-turn-on-song-lyrics,117.0
6591,1965,1960,58,I'll Be Doggone,Marvin Gaye,ill be doggone,marvin gaye,genius,https://genius.com/Marvin-gaye-ill-be-doggone-lyrics,321.0
6592,1965,1960,59,Save Your Heart for Me,Gary Lewis & the Playboys,save your heart for me,gary lewis the playboys,genius,https://genius.com/Gary-lewis-and-the-playboys-save-your-heart-for-me-lyrics,138.0
6593,1965,1960,60,Tired of Waiting for You,The Kinks,tired of waiting for you,the kinks,genius,https://genius.com/The-kinks-tired-of-waiting-for-you-lyrics,168.0
6594,1965,1960,61,Count Me In,Gary Lewis & the Playboys,count me in,gary lewis the playboys,genius,https://genius.com/Gary-lewis-and-the-playboys-count-me-in-lyrics,177.0
6595,1965,1960,62,All Day and All of the Night,The Kinks,all day and all of the night,the kinks,genius,https://genius.com/The-kinks-all-day-and-all-of-the-night-lyrics,180.0
6596,1965,1960,63,What the World Needs Now Is Love,Jackie DeShannon,what the world needs now is love,jackie deshannon,azlyrics,https://www.azlyrics.com/lyrics/jackiedeshannon/whattheworldneedsnowislove.html,212.0
